cluster_id,rank,text,timestamp
0,1,"  Happy monday \u270c\ufe0f Blouson #sudexpress \u2022 \xc9charpe #Zara \u2022 Bottines #Sandro. \n#ootd#outfitoftheday#thisime#mystyle#outfitshare#outfitpost#fwis#fromwhereistand  fromwhereistand, fwis, sudexpress, outfitshare, outfitoftheday, mystyle, outfitpost, ootd, zara, sandro, thisime",2016-01-25 12:24:13
0,2,"  #ootd #ootdfashion #fromwhereistand #jacket #leather #isabelmarant #kady#jeans #shoes #zara #zaradaily #itbag #valentino #vavavoom #instapic #instacool #instagram #instagood #instadaily #instagramers #instafashion #fashion #fashiongram #fashionpost #fashionista #fashiondiaries #fashionblogger #wassamathieu #  fashion, instagram, itbag, instagramers, fashionista, instapic, jeans, isabelmarant, fashiongram, ootd, fashionpost, instadaily, zaradaily, valentino, fromwhereistand, fashiondiaries, jacket, ootdfashion, leather, shoes, instagood, wassamathie, kady, instacool, zara, vavavoom, fashionblogger, instafashion",2016-01-26 14:57:33
0,3,"  Ootd \U0001f380 #outfitpost #outfitoftheday #instadaily #monday #slim #dentelle #zara #sneakers #isabelmarant #look #mode #fashion #me #blonde #girl #coat #fauxfurcoat  fashion, monday, slim, isabelmarant, outfitpost, blonde, girl, me, fauxfurcoat, look, instadaily, dentelle, outfitoftheday, sneakers, mode, coat, zara",2016-01-25 12:59:31
0,4,"  Layering is always the best for these chilly days \u2744\ufe0f\u263a\ufe0f *details on the blog now @00000 #torisherri #southmoonunder #smustorestyle #stevemadden #lysses #hue #freepeople #forever21 #blanknyc #nepals #alexandani #fashionblogger  southmoonunder, hue, freepeople, torisherri, alexandani, smustorestyle, forever21, stevemadden, blanknyc, fashionblogger, lysses, nepals",2016-01-27 03:21:35
0,5,"  Sunny Sundays \U0001f49b #virginiahighlands #family #love #iro #jacket #zara #sweater #citizensofhumanity #carlie #highrise #skinny #jeans #isabelmarant #crisi #boots  highrise, love, family, sweater, citizensofhumanity, jeans, isabelmarant, boots, jacket, iro, zara, skinny, virginiahighlands, crisi, carlie",2016-01-24 20:08:28
1,1,"  \U0001f525\U0001f525\u0e25\u0e14\u0e19\u0e49\u0e33\u0e2b\u0e19\u0e31\u0e01\u0e41\u0e1a\u0e1a\u0e44\u0e21\u0e48\u0e42\u0e22\u0e42\u0e22\u0e48 \u0e14\u0e49\u0e27\u0e22\u0e40\u0e17\u0e04\u0e42\u0e19\u0e42\u0e25\u0e22\u0e35\u0e23\u0e30\u0e14\u0e31\u0e1a cell \u0e08\u0e32\u0e01\u0e2d\u0e40\u0e21\u0e23\u0e34\u0e01\u0e32 \U0001f4f2 Line ID: 0971952555 \U0001f4de Tel: 0971952555  siambrandname, love, business, sbntown, slim, igramlike, atreasurebox, americanapparel, \u0e02\u0e32\u0e22\u0e02\u0e2d\u0e07, world, somethingboudoir, \u0e15\u0e32\u0e21\u0e2b\u0e32\u0e21\u0e32\u0e19\u0e32\u0e19, hiend, network, diet, \u0e15\u0e32\u0e21\u0e2b\u0e32, young, instagood, food, youthintrend, store, igers",2016-01-26 18:00:21
1,2,"  \U0001f493\U0001f493\u0e40\u0e0b\u0e23\u0e31\u0e48\u0e21\u0e17\u0e35\u0e48\u0e14\u0e35\u0e17\u0e35\u0e48\u0e2a\u0e38\u0e14 \u0e15\u0e48\u0e2d\u0e22\u0e2d\u0e14\u0e23\u0e32\u0e07\u0e27\u0e31\u0e25\u0e42\u0e19\u0e40\u0e1a\u0e25 2 \u0e23\u0e32\u0e07\u0e27\u0e31\u0e25 \u0e25\u0e07\u0e19\u0e34\u0e15\u0e22\u0e2a\u0e32\u0e23\u0e14\u0e31\u0e07\u0e17\u0e31\u0e48\u0e27\u0e42\u0e25\u0e01 \u0e43\u0e0a\u0e49\u0e19\u0e27\u0e31\u0e15\u0e01\u0e23\u0e23\u0e21\u0e40\u0e2d\u0e01\u0e2a\u0e34\u0e21\u0e18\u0e34\u0e4c Human EGF 200+ \u0e02\u0e31\u0e49\u0e19\u0e2a\u0e39\u0e07\u0e2a\u0e38\u0e14 \u0e1c\u0e25\u0e25\u0e31\u0e1e\u0e18\u0e4c\u0e2d\u0e31\u0e19\u0e19\u0e48\u0e32\u0e17\u0e36\u0e48\u0e07 \u0e1e\u0e23\u0e49\u0e2d\u0e21\u0e43\u0e2b\u0e49\u0e17\u0e38\u0e01\u0e04\u0e19\u0e1e\u0e34\u0e2a\u0e39\u0e08\u0e19\u0e4c \U0001f4de062 409 6964 \U0001f4f2Add line id: collawhiteshop\n\u0e2b\u0e23\u0e37\u0e2d\u0e04\u0e25\u0e34\u0e01\u0e25\u0e34\u0e07\u0e04\u0e4c\u0e19\u0e35\u0e49\u0e44\u0e14\u0e49\u0e40\u0e25\u0e22\u0e08\u0e23\u0e49\u0e32 http://line.me/ti/p/~collawhiteshop  shop, siambrandname, somethingboudoir, beauty, sbntown, slim, atreasurebox, americanapparel, ageless, hi, \u0e02\u0e32\u0e22\u0e02\u0e2d\u0e07, world, kanken, \u0e15\u0e32\u0e21\u0e2b\u0e32\u0e21\u0e32\u0e19\u0e32\u0e19, lookbookbkk, network, hiend, luminesce, sbn, business, diet, \u0e15\u0e32\u0e21\u0e2b\u0e32, stemcell, growthfactor, young, food, store",2016-01-27 01:56:10
1,3,"  \U0001f481\U0001f3fb\u2728\U0001f389\u0e21\u0e32\u0e40\u0e1e\u0e34\u0e48\u0e21\u0e41\u0e25\u0e49\u0e27\u0e08\u0e49\u0e32\n\nCOACH SWAGGER 27\U0001f45d\U0001f496 \u0e02\u0e19\u0e32\u0e14 7.5 \u0e19\u0e34\u0e49\u0e27\n\n\u0e2a\u0e35\u0e21\u0e48\u0e27\u0e07\u0e2d\u0e48\u0e2d\u0e19\U0001f341\U0001f337\u0e2a\u0e27\u0e22\u0e2a\u0e38\u0e14\u0e46\n\n\u0e16\u0e39\u0e01\u0e21\u0e32\u0e01 !! \U0001f4b8\U0001f4a5 14,990\u0e3f ---------------------------------------------------\n\u2705\u0e1e\u0e23\u0e49\u0e2d\u0e21\u0e2a\u0e48\u0e07 \u0e42\u0e2d\u0e19\u0e20\u0e32\u0e22\u0e43\u0e19 24 \u0e0a\u0e21. \u0e2b\u0e23\u0e37\u0e2d\u0e21\u0e31\u0e14\u0e08\u0e33\u0e44\u0e27\u0e49\u0e01\u0e48\u0e2d\u0e19 \u0e25\u0e49\u0e2d\u0e04\u0e2a\u0e34\u0e19\u0e04\u0e49\u0e32\u0e43\u0e2b\u0e49\u0e04\u0e48\u0e30\n\u2705\u0e1e\u0e23\u0e35\u0e2d\u0e2d\u0e40\u0e14\u0e2d\u0e23\u0e4c \u0e2b\u0e25\u0e31\u0e07\u0e21\u0e31\u0e14\u0e08\u0e33 \u0e08\u0e31\u0e14\u0e0b\u0e37\u0e49\u0e2d\u0e43\u0e2b\u0e49\u0e04\u0e48\u0e30\n\u2705\u0e1f\u0e23\u0e35ems\n\u2705\u0e44\u0e21\u0e48\u0e21\u0e35\u0e1b\u0e23\u0e30\u0e27\u0e31\u0e15\u0e34\u0e42\u0e01\u0e07\n\u2705\u0e2a\u0e48\u0e07\u0e08\u0e23\u0e34\u0e07 \u0e2a\u0e48\u0e07\u0e44\u0e27 \u0e40\u0e25\u0e37\u0e48\u0e2d\u0e19\u0e14\u0e39\u0e23\u0e35\u0e27\u0e34\u0e27\u0e14\u0e49\u0e32\u0e19\u0e25\u0e48\u0e32\u0e07\u0e40\u0e25\u0e22\u0e08\u0e23\u0e49\u0e32\n\u2705\u0e23\u0e32\u0e04\u0e32\u0e02\u0e36\u0e49\u0e19\u0e25\u0e07\u0e15\u0e25\u0e2d\u0e14\u0e15\u0e32\u0e21\u0e42\u0e1b\u0e23\u0e40\u0e21\u0e01\u0e32\n\u2705\u0e2a\u0e2d\u0e1a\u0e16\u0e32\u0e21\u0e40\u0e1e\u0e34\u0e48\u0e21\u0e40\u0e15\u0e34\u0e21\U0001f194kitkat211\n\n#\u0e15\u0e32\u0e21\u0e2b\u0e32 #\u0e15\u0e32\u0e21\u0e08\u0e19\u0e40\u0e08\u0e2d #\u0e15\u0e32\u0e21\u0e2b\u0e32\u0e21\u0e32\u0e19\u0e32\u0e19#\u0e02\u0e32\u0e22 #\u0e02\u0e32\u0e22\u0e02\u0e2d\u0e07 #coach #coachmen #weloveshopping #siambrandname#pantip #pantown#coachsale#coachoutlet#coachbkk#coachfactory#coachshop#\u0e2d\u0e22\u0e32\u0e01\u0e02\u0e32\u0e22#coachwallet#rayban#kipling#katespade#sbn#coachoutlet #charleskeith#lynaround#lyn#\u0e14\u0e32\u0e23\u0e32#michealkors#fossil#guess  coachfactory, siambrandname, weloveshopping, coach, michealkors, coachwallet, \u0e02\u0e32\u0e22\u0e02\u0e2d\u0e07, \u0e14\u0e32\u0e23\u0e32, charleskeith, coachbkk, coachshop, pantip, lyn, lynaround, \u0e15\u0e32\u0e21\u0e2b\u0e32\u0e21\u0e32\u0e19\u0e32\u0e19, coachoutlet, kipling, rayban, guess, pantown, sbn, coachsale, coachmen, \u0e15\u0e32\u0e21\u0e08\u0e19\u0e40\u0e08\u0e2d, katespade, \u0e2d\u0e22\u0e32\u0e01\u0e02\u0e32\u0e22, fossil, \u0e15\u0e32\u0e21\u0e2b\u0e32, \u0e02\u0e32\u0e22",2016-01-27 06:55:31
1,4,"  \U0001f534\U0001f534\u0e1e\u0e23\u0e49\u0e2d\u0e21\u0e2a\u0e48\u0e07\U0001f534\U0001f534\n\U0001f34d\U0001f34d\U0001f34d\u0e40\u0e14\u0e23\u0e2a\u0e2a\u0e31\u0e1b\u0e1b\u0e30\u0e23\u0e14\U0001f34d\U0001f34d\U0001f34d \u0e1c\u0e49\u0e32\u0e41\u0e04\u0e19\u0e27\u0e32\u0e2a \u0e07\u0e32\u0e19\u0e2a\u0e27\u0e22 \u0e01\u0e25\u0e35\u0e1a\u0e23\u0e2d\u0e1a \u0e2a\u0e27\u0e22\u0e21\u0e32\u0e01\u0e46\u0e46\u0e04\u0e48\u0e32 \u0e07\u0e32\u0e19\u0e40\u0e01\u0e23\u0e14\u0e14\u0e35 \u2b55\ufe0f\u0e1b\u0e01\u0e15\u0e34370-.\n\u0e2d\u0e01 32-36 \""\"" \u0e22\u0e32\u0e27 29-30\""\""\n------\n\u2b55\ufe0f\u0e41\u0e21\u0e48\u0e2d\u0e49\u0e27\u0e19390-.\n\u0e2d\u0e01  36-40 \""\""\u0e22\u0e32\u0e27 31-33\""\""\n.\n\U0001f4f2Line ID: npberry\n\u0e0b\u0e37\u0e49\u0e2d2\u0e0a\u0e38\u0e14\u0e2a\u0e48\u0e07\u0e1f\u0e23\u0e35 \u0e04\u0e25\u0e30\u0e44\u0e14\u0e49\u0e17\u0e31\u0e49\u0e07\u0e23\u0e49\u0e32\u0e19\u0e08\u0e49\u0e32\u203c\ufe0f\n#shopthai #theabythara #vatanika #marihorn #topshop #igthai #chaps #ccoo #lovebird #\u0e04\u0e2a\u0e2d #lovemetender #lyn #queenp #nokara #matin #jaspal #cps #\u0e2d\u0e22\u0e32\u0e01\u0e02\u0e32\u0e22 #mng #stylenanda #suda #lookbooklookbook #katespade #lookbook #baobao #topshopthailand #secondhand #rinrata #issue  shopthai, topshopthailand, igthai, suda, jaspal, lovebird, topshop, ccoo, secondhand, matin, queenp, lyn, mng, lookbook, baobao, theabythara, katespade, lookbooklookbook, \u0e04\u0e2a\u0e2d, lovemetender, vatanika, stylenanda, \u0e2d\u0e22\u0e32\u0e01\u0e02\u0e32\u0e22, chaps, marihorn, nokara, rinrata, cps, issue",2016-01-27 07:28:41
1,5,"  \U0001f481\U0001f3fb\u2728\u0e1e\u0e23\u0e49\u0e2d\u0e21\u0e2a\u0e48\u0e07 \u231a\ufe0fARMANI WATCH \u0e2b\u0e25\u0e48\u0e2d\u0e21\u0e32\u0e01\u0e01\U0001f4a6 \u0e01\u0e25\u0e48\u0e2d\u0e07\u0e41\u0e17\u0e49 \u0e2d\u0e38\u0e1b\u0e01\u0e23\u0e13\u0e4c\u0e04\u0e23\u0e1a\n\n\u0e23\u0e32\u0e04\u0e32\u0e14\u0e35\u0e21\u0e32\u0e01 !! \U0001f4b8\U0001f4a5 6,290\u0e3f ---------------------------------------------------\n\u274c\u0e44\u0e21\u0e48\u0e21\u0e35\u0e2b\u0e25\u0e38\u0e14Qc\n\u274c\u0e44\u0e21\u0e48\u0e21\u0e35\u0e22\u0e49\u0e2d\u0e21\u0e41\u0e21\u0e27\n\U0001f44d\u0e2d\u0e38\u0e1b\u0e01\u0e23\u0e13\u0e4c\u0e04\u0e23\u0e1a \U0001f44d\u0e23\u0e32\u0e04\u0e32\u0e16\u0e39\u0e01\u0e01\u0e27\u0e48\u0e32shop\n\U0001f44d\u0e02\u0e2d\u0e07\u0e41\u0e17\u0e49\u0e08\u0e32\u0e01usa\u0e17\u0e38\u0e01\u0e40\u0e23\u0e37\u0e2d\u0e19\U0001f1fa\U0001f1f8\n--------------------------------------------------\n\u2705\u0e1e\u0e23\u0e49\u0e2d\u0e21\u0e2a\u0e48\u0e07 \u0e42\u0e2d\u0e19\u0e20\u0e32\u0e22\u0e43\u0e19 24 \u0e0a\u0e21. \u0e2b\u0e23\u0e37\u0e2d\u0e21\u0e31\u0e14\u0e08\u0e33\u0e44\u0e27\u0e49\u0e01\u0e48\u0e2d\u0e19 \u0e25\u0e49\u0e2d\u0e04\u0e2a\u0e34\u0e19\u0e04\u0e49\u0e32\u0e43\u0e2b\u0e49\u0e04\u0e48\u0e30\n\u2705\u0e1e\u0e23\u0e35\u0e2d\u0e2d\u0e40\u0e14\u0e2d\u0e23\u0e4c \u0e2b\u0e25\u0e31\u0e07\u0e21\u0e31\u0e14\u0e08\u0e33 \u0e08\u0e31\u0e14\u0e0b\u0e37\u0e49\u0e2d\u0e43\u0e2b\u0e49\u0e04\u0e48\u0e30\n\u2705\u0e1f\u0e23\u0e35ems\n\u2705\u0e44\u0e21\u0e48\u0e21\u0e35\u0e1b\u0e23\u0e30\u0e27\u0e31\u0e15\u0e34\u0e42\u0e01\u0e07\n\u2705\u0e2a\u0e48\u0e07\u0e08\u0e23\u0e34\u0e07 \u0e2a\u0e48\u0e07\u0e44\u0e27 \u0e40\u0e25\u0e37\u0e48\u0e2d\u0e19\u0e14\u0e39\u0e23\u0e35\u0e27\u0e34\u0e27\u0e14\u0e49\u0e32\u0e19\u0e25\u0e48\u0e32\u0e07\u0e40\u0e25\u0e22\u0e08\u0e23\u0e49\u0e32\n\u2705\u0e23\u0e32\u0e04\u0e32\u0e02\u0e36\u0e49\u0e19\u0e25\u0e07\u0e15\u0e25\u0e2d\u0e14\u0e15\u0e32\u0e21\u0e42\u0e1b\u0e23\u0e40\u0e21\u0e01\u0e32\n\u2705\u0e2a\u0e2d\u0e1a\u0e16\u0e32\u0e21\u0e40\u0e1e\u0e34\u0e48\u0e21\u0e40\u0e15\u0e34\u0e21\U0001f194kitkat211\n\n#\u0e15\u0e32\u0e21\u0e2b\u0e32 #\u0e15\u0e32\u0e21\u0e08\u0e19\u0e40\u0e08\u0e2d #\u0e15\u0e32\u0e21\u0e2b\u0e32\u0e21\u0e32\u0e19\u0e32\u0e19#\u0e02\u0e32\u0e22 #\u0e02\u0e32\u0e22\u0e02\u0e2d\u0e07 #coach #coachmen #weloveshopping #siambrandname#pantip #pantown#coachsale#coachoutlet#coachbkk#coachfactory#coachshop#\u0e2d\u0e22\u0e32\u0e01\u0e02\u0e32\u0e22#coachwallet#rayban#kipling#katespade#sbn#coachoutlet #charleskeith#lynaround#lyn#\u0e14\u0e32\u0e23\u0e32#michealkors#fossil#guess  coachfactory, siambrandname, weloveshopping, coach, michealkors, coachwallet, \u0e02\u0e32\u0e22\u0e02\u0e2d\u0e07, \u0e14\u0e32\u0e23\u0e32, charleskeith, coachbkk, coachshop, pantip, lyn, lynaround, \u0e15\u0e32\u0e21\u0e2b\u0e32\u0e21\u0e32\u0e19\u0e32\u0e19, coachoutlet, kipling, rayban, guess, pantown, sbn, coachsale, coachmen, \u0e15\u0e32\u0e21\u0e08\u0e19\u0e40\u0e08\u0e2d, katespade, \u0e2d\u0e22\u0e32\u0e01\u0e02\u0e32\u0e22, fossil, \u0e15\u0e32\u0e21\u0e2b\u0e32, \u0e02\u0e32\u0e22",2016-01-27 06:40:51
